Feature,Mean_Absolute_SHAP
cat__city_Eindhoven,0.0
cat__city_Edinburgh,0.0
cat__city_Düsseldorf,0.0
cat__city_Dusseldorf,0.0
"cat__city_Durham, North Carolina",0.0
cat__city_Durham,0.0
cat__city_Dublin,0.0
cat__city_Dubai,0.0
"cat__city_Dover, DE",0.0
cat__city_Dover,0.0
cat__city_Mountain View,0.0
cat__city_Detroit,0.0
cat__city_Denver,0.0
cat__city_Dakar,0.0
cat__city_DENVER,0.0
cat__city_DALLAS,0.0
cat__city_Curitiba,0.0
cat__city_Cupertino,0.0
cat__city_Culver City,0.0
cat__city_Corvallis,0.0
cat__city_Copenhagen,0.0
cat__city_Columbus,0.0
cat__city_Cologne,0.0
cat__city_Dever,0.0
cat__city_Gurugram,0.0
cat__city_Guildford,0.0
cat__city_Greenwood Village,0.0
"cat__city_Greenville, SC",0.0
"cat__city_Grand Rapids, MI",0.0
cat__city_Grand Rapids,0.0
cat__city_Gothenburg,0.0
cat__city_Ghent,0.0
cat__city_George Town,0.0
cat__city_Geneva,0.0
cat__city_GURUGRAM,0.0
cat__city_Førde,0.0
"cat__city_Emeryville, California",0.0
cat__city_Fremont,0.0
cat__city_Frankfurt am Main,0.0
cat__city_Frankfurt,0.0
"cat__city_Framingham, MA",0.0
cat__city_Foster City,0.0
"cat__city_Fort Lauderdale, FL",0.0
cat__city_Fort Collins,0.0
cat__city_Forster City,0.0
cat__city_Florianópolis,0.0
cat__city_Ferdericton,0.0
cat__city_Fayetteville,0.0
cat__city_Espoo,0.0
cat__city_Fresno,0.0
cat__city_Budapest,0.0
cat__city_Bucharest,0.0
cat__city_Brno,0.0
cat__city_Bristol,0.0
cat__city_Brisbane,0.0
cat__city_Brasilia,0.0
cat__city_Boulder,0.0
cat__city_Boston,0.0
cat__city_Boise,0.0
cat__city_Bogota,0.0
cat__city_Blumenau,0.0
cat__city_Birmingham,0.0
cat__city_Cluj-Napoca,0.0
cat__city_Berlin,0.0
cat__city_Berkeley,0.0
cat__city_Bengaluru,0.0
"cat__city_Bend, Oregon",0.0
cat__record_id_layoff_05211,0.0
cat__city_Belo Horizonte,0.0
"cat__city_Belmont, CA",0.0
"cat__city_Bellevue, WA",0.0
cat__city_Bellevue,0.0
cat__city_Belleville,0.0
cat__city_Beijing,0.0
cat__city_Beau Vallon,0.0
cat__city_Bethesda,0.0
cat__city_Cleveland,0.0
cat__city_Cincinnati,0.0
cat__city_Chicago,0.0
"cat__city_Chesterfield, MO",0.0
cat__city_Chennai,0.0
cat__city_Chattanooga,0.0
cat__city_Charlottesville,0.0
"cat__city_Charlotte, NC",0.0
cat__city_Charlotte,0.0
cat__city_Charleston,0.0
cat__city_Cayman Islands,0.0
cat__city_Cary,0.0
cat__city_Buenos Aires,0.0
cat__city_Campbell,0.0
"cat__city_Cambridge, MA",0.0
cat__city_Camarillo,0.0
cat__city_Calgary,0.0
cat__city_Cairo,0.0
cat__city_COLUMBUS,0.0
cat__city_CHICAGO,0.0
cat__city_CHENNAI,0.0
cat__city_CHARLOTTE,0.0
"cat__city_Burlington, MA",0.0
cat__city_Burlington,0.0
cat__city_Burlingame,0.0
cat__city_Cape Town,0.0
cat__city_MIAMI,0.0
cat__city_MENLO PARK,0.0
cat__city_MEMPHIS,0.0
"cat__city_Luxembourg, Raleigh",0.0
cat__city_Luxembourg,0.0
cat__city_Louisville,0.0
"cat__city_Los Gatos, CA",0.0
cat__city_Los Gatos,0.0
cat__city_Los Angeles,0.0
cat__city_Los Altos,0.0
cat__city_London Colney,0.0
cat__city_Gydnia,0.0
